sex,age,typtrai,wstatus,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,Y15-29,NO_FED_NFE,NEMP,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.6 	25.7 	23.3 	22.5 	24.1 	23.1 	22.6 
F,Y15-29,NO_FED_NFE,NEMP,PC,MK	: 	: 	: 	: 	: 	: 	49.3 	41.5 b	40.8 	37.2 	35.1 	34.8 	34.1 	34.6 	36.2 	35.3 	34.0 	35.7 
F,Y15-29,NO_FED_NFE,NEMP,PC,MT	33.1 	26.5 	23.5 	26.7 	21.1 b	20.3 b	18.2 b	16.9 	15.9 	16.4 	16.1 	14.9 	14.5 	13.4 	14.7 	13.9 	11.4 	9.2 b
F,Y15-29,NO_FED_NFE,NEMP,PC,NL	9.2 	8.3 	8.2 	8.5 b	8.0 	8.0 	6.7 b	6.3 	6.0 	6.1 	6.3 b	6.8 	7.6 	8.2 b	8.7 	7.6 	6.9 	6.7 
F,Y15-29,NO_FED_NFE,NEMP,PC,NO	26.7 	25.7 	25.1 	11.2 b	10.7 	10.3 	7.0 b	6.8 	5.9 	6.7 	6.7 	7.3 	7.1 	7.5 	7.7 	7.4 	7.2 	7.2 
F,Y15-29,NO_FED_NFE,NEMP,PC,PL	: 	24.5 b	24.6 	23.0 b	22.2 b	21.5 	19.6 	18.0 	16.7 b	17.3 	17.4 b	18.3 	18.8 	19.1 b	18.1 	16.7 	17.1 	17.0 
F,Y15-29,NO_FED_NFE,NEMP,PC,PT	13.3 b	13.0 	14.1 b	14.4 	13.9 b	14.4 	14.2 b	15.4 	14.6 	14.0 	15.6 	14.8 b	15.7 	16.9 	15.3 	14.4 	13.2 	10.7 
F,Y15-29,NO_FED_NFE,NEMP,PC,RO	23.5 	22.2 	26.7 b	25.3 b	24.2 	22.4 	20.1 b	18.8 	17.8 	20.1 	23.3 b	22.5 	22.5 	23.2 	23.5 	26.1 	25.5 	22.6 
F,Y15-29,NO_FED_NFE,NEMP,PC,SE	7.6 u	8.2 b	8.5 	7.4 b	8.0 	10.6 b	10.1 b	8.7 b	8.9 b	10.2 	8.8 	8.5 	8.9 	8.3 	8.1 	7.6 	7.3 	7.3 
F,Y15-29,NO_FED_NFE,NEMP,PC,SI	: 	10.8 	10.5 	9.6 b	9.5 	10.8 	11.1 b	9.7 	8.4 	10.0 	9.9 	9.4 	12.8 	14.1 	14.8 	13.0 	11.3 	10.7 
F,Y15-29,NO_FED_NFE,NEMP,PC,SK	: 	: 	31.1 	24.7 b	25.4 	25.4 	23.4 b	22.5 	20.3 	21.6 	21.9 	21.6 b	22.1 	21.9 	21.7 	21.4 	20.9 	21.7 
F,Y15-29,NO_FED_NFE,NEMP,PC,TR	: 	: 	: 	: 	: 	: 	59.2 b	59.7 	57.3 	54.3 	51.3 	48.7 	46.7 	43.8 	42.3 b	41.6 	40.9 	40.7 
F,Y15-29,NO_FED_NFE,NEMP,PC,UK	16.4 	16.2 	16.1 	12.1 b	10.9 	11.0 	10.8 	16.2 b	16.5 b	16.9 	17.4 	18.2 	18.3 	17.4 	16.4 	15.5 	14.9 	13.2 
M,Y15-29,NO_FED_NFE,NEMP,PC,AT	6.8 	7.4 	6.5 	5.4 	8.5 b	8.2 	7.8 b	7.2 b	6.7 	7.9 	7.7 	7.3 	6.9 	7.6 	8.4 	8.2 	8.4 	7.8 
M,Y15-29,NO_FED_NFE,NEMP,PC,BE	14.0 	13.4 b	14.0 	16.0 	14.5 b	12.4 	10.7 b	11.0 	10.1 	11.3 	11.8 	12.3 b	13.3 	14.1 	13.9 	13.9 	12.0 	11.9 b
M,Y15-29,NO_FED_NFE,NEMP,PC,BG	: 	31.4 	29.6 	28.8 b	26.5 	23.5 	20.0 b	17.5 	15.4 b	17.9 	21.2 b	23.0 	23.0 	23.8 	21.3 	19.8 	19.1 	14.8 
M,Y15-29,NO_FED_NFE,NEMP,PC,CH	4.4 	4.5 	5.1 	7.1 b	5.9 	6.4 	6.5 	5.6 	5.7 	7.8 	6.7 b	7.3 	6.8 	7.4 	7.4 	7.0 	7.3 	7.3 
M,Y15-29,NO_FED_NFE,NEMP,PC,CY	5.2 	4.0 	5.8 	7.1 b	5.3 	13.1 	9.4 b	7.4 	8.3 	8.6 b	10.8 	14.2 	17.2 	20.7 	20.5 	17.7 	16.4 	15.7 
M,Y15-29,NO_FED_NFE,NEMP,PC,CZ	: 	: 	8.7 	9.9 b	10.8 	10.1 	7.4 b	5.2 	4.9 	8.0 	8.3 	7.6 b	8.4 	8.2 b	7.0 	6.6 	5.6 	4.6 
M,Y15-29,NO_FED_NFE,NEMP,PC,DE	7.1 	7.5 	8.4 	10.6 b	11.1 	11.4 b	10.4 	9.0 	8.2 b	9.5 	8.7 b	7.7 b	7.2 	6.7 	6.7 	6.6 	7.0 	6.7 
M,Y15-29,NO_FED_NFE,NEMP,PC,DK	4.7 	5.6 	5.0 	5.4 b	5.4 	4.6 	3.6 	4.9 b	4.6 	6.6 	7.8 	7.2 	8.0 	7.0 	6.8 	7.3 	7.2 b	8.5 
M,Y15-29,NO_FED_NFE,NEMP,PC,EA18	10.7 	10.5 	10.9 	11.5 b	11.5 	11.5 	10.8 b	10.3 	10.8 	13.4 	13.7 	13.8 	14.6 	14.8 	14.4 	13.9 	13.1 	12.5 
M,Y15-29,NO_FED_NFE,NEMP,PC,EA19	10.8 	10.6 	11.0 	11.5 b	11.5 	11.5 	10.8 b	10.3 	10.8 	13.5 	13.8 	13.8 	14.6 	14.8 	14.4 	13.9 	13.1 	12.5 
M,Y15-29,NO_FED_NFE,NEMP,PC,EE	14.0 	12.6 	11.7 	12.3 b	11.6 	9.5 	7.3 	8.0 	6.9 	16.5 b	16.5 	12.8 	11.8 	11.1 	11.2 	7.9 	8.6 	7.7 
M,Y15-29,NO_FED_NFE,NEMP,PC,EL	13.3 	12.9 b	12.2 	14.3 b	12.7 b	12.2 	9.7 b	9.8 	9.8 b	10.8 b	14.1 	19.6 	24.2 	26.8 	24.8 	22.2 	19.8 	18.1 
