unit,sector,na_item,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_GDP,S13,GD,BG	21.0 	16.3 	13.0 	13.7 	15.3 	15.2 	16.7 	17.0 	27.0 	26.0 	29.0 	25.4 
PC_GDP,S13,GD,CY	58.7 	53.5 	45.1 	53.8 	56.3 	65.7 	79.7 	102.6 	107.5 	107.5 	106.6 	97.5 
PC_GDP,S13,GD,CZ	27.7 	27.5 	28.3 	33.6 	37.4 	39.8 	44.5 	44.9 	42.2 	40.0 	36.8 	34.6 
PC_GDP,S13,GD,DE	66.5 	63.7 	65.2 	72.6 	80.9 	78.6 	79.8 	77.5 	74.7 	71.0 	68.2 	64.1 
PC_GDP,S13,GD,DK	31.5 	27.3 	33.3 	40.2 	42.6 	46.1 	44.9 	44.0 	44.3 	39.9 	37.9 	36.4 
PC_GDP,S13,GD,EA18	67.5 	65.1 	68.9 	79.4 	84.7 	86.8 	89.8 	91.8 	92.1 	90.1 	89.2 	86.9 
PC_GDP,S13,GD,EA19	67.4 	65.0 	68.7 	79.2 	84.6 	86.6 	89.7 	91.6 	91.9 	89.9 	89.0 	86.7 
PC_GDP,S13,GD,EE	4.4 	3.7 	4.5 	7.0 	6.6 	6.1 	9.7 	10.2 	10.7 	10.0 	9.4 	9.0 
PC_GDP,S13,GD,EL	103.6 	103.1 	109.4 	126.7 	146.2 	172.1 	159.6 	177.4 	178.9 	176.8 	180.8 	178.6 
PC_GDP,S13,GD,ES	38.9 	35.6 	39.5 	52.8 	60.1 	69.5 	85.7 	95.5 	100.4 	99.4 	99.0 	98.3 
PC_GDP,S13,GD,EU27	60.2 	57.6 	60.9 	73.5 	79.0 	81.5 	83.9 	85.8 	86.5 	84.5 	83.3 	81.6 
PC_GDP,S13,GD,EU28	60.1 	57.5 	60.8 	73.4 	78.9 	81.5 	83.9 	85.8 	86.5 	84.5 	83.3 	81.6 
PC_GDP,S13,GD,FI	38.2 	34.0 	32.7 	41.7 	47.1 	48.5 	53.9 	56.5 	60.2 	63.5 	63.0 	61.4 
PC_GDP,S13,GD,FR	64.6 	64.5 	68.8 	83.0 	85.3 	87.8 	90.6 	93.4 	94.9 	95.6 	96.6 	97.0 
PC_GDP,S13,GD,HR	38.6 	37.3 	39.0 	48.3 	57.3 	63.8 	69.4 	80.5 	84.0 	83.8 	80.6 	78.0 
PC_GDP,S13,GD,HU	64.5 	65.5 	71.6 	77.8 	80.2 	80.5 	78.4 	77.1 	76.6 	76.7 	76.0 	73.6 
PC_GDP,S13,GD,IE	23.6 	23.9 	42.4 	61.5 	86.1 	110.3 	119.6 	119.4 	104.5 	76.9 	72.8 	68.0 
PC_GDP,S13,GD,IT	102.6 	99.8 	102.4 	112.5 	115.4 	116.5 	123.4 	129.0 	131.8 	131.5 	132.0 	131.8 
PC_GDP,S13,GD,LT	17.2 	15.9 	14.6 	28.0 	36.2 	37.2 	39.8 	38.8 	40.5 	42.6 	40.1 	39.7 
PC_GDP,S13,GD,LU	7.8 	7.7 	14.9 	15.7 	19.8 	18.7 	22.0 	23.7 	22.7 	22.0 	20.8 	23.0 
PC_GDP,S13,GD,LV	9.6 	8.0 	18.2 	35.8 	46.8 	42.7 	41.2 	39.0 	40.9 	36.8 	40.5 	40.1 
PC_GDP,S13,GD,MT	64.5 	62.3 	62.6 	67.6 	67.5 	70.1 	67.8 	68.4 	63.8 	58.7 	56.2 	50.8 
PC_GDP,S13,GD,NL	44.7 	42.7 	54.7 	56.8 	59.3 	61.6 	66.3 	67.8 	68.0 	64.6 	61.8 	56.7 
PC_GDP,S13,GD,PL	46.9 	44.2 	46.3 	49.4 	53.1 	54.1 	53.7 	55.7 	50.3 	51.1 	54.2 	50.6 
PC_GDP,S13,GD,PT	69.2 	68.4 	71.7 	83.6 	96.2 	111.4 	126.2 	129.0 	130.6 	128.8 	129.9 	125.7 
PC_GDP,S13,GD,RO	12.3 	11.9 	12.4 	22.1 	29.7 	34.0 	36.9 	37.5 	39.1 	37.7 	37.4 	35.0 
PC_GDP,S13,GD,SE	44.0 	39.3 	37.8 	41.4 	38.6 	37.9 	38.1 	40.7 	45.5 	44.2 	42.1 	40.6 
PC_GDP,S13,GD,SI	26.0 	22.8 	21.8 	34.6 	38.4 	46.6 	53.8 	70.4 	80.3 	82.6 	78.6 	73.6 
PC_GDP,S13,GD,SK	31.0 	30.1 	28.5 	36.3 	41.2 	43.7 	52.2 	54.7 	53.5 	52.3 	51.8 	50.9 
PC_GDP,S13,GD,UK	40.8 	41.9 	49.9 	64.1 	75.6 	81.3 	84.5 	85.6 	87.4 	88.2 	88.2 	87.7 
