wstatus,indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
RET,LI_R_MD60,Y_GE18,F,UK	28.3 	29.6 	29.9 	25.4 	25.3 	25.4 	18.3 b	18.7 	20.3 	19.4 	20.1 	: 
RET,LI_R_MD60,Y_GE18,M,AT	10.3 	9.6 	15.0 b	13.9 	12.5 	11.9 	11.6 	12.0 	12.5 	11.3 	10.0 	9.8 
RET,LI_R_MD60,Y_GE18,M,BE	19.6 	18.3 	17.9 	18.2 	16.5 	18.9 	17.9 	15.3 b	13.5 	13.2 	14.2 	13.3 
RET,LI_R_MD60,Y_GE18,M,BG	15.0 	17.8 	27.6 	30.1 	23.6 	21.0 	18.2 	19.1 	16.6 	20.5 	16.7 b	23.5 
RET,LI_R_MD60,Y_GE18,M,CH	: 	19.6 	21.9 	26.0 	23.2 	23.9 	24.3 	26.1 	21.4 b	25.2 	21.4 	: 
RET,LI_R_MD60,Y_GE18,M,CY	48.1 	46.3 	43.2 b	42.9 	36.8 	31.3 	24.4 	16.0 	17.6 	13.4 	16.6 	19.2 
RET,LI_R_MD60,Y_GE18,M,CZ	4.6 	4.0 	4.8 	3.2 	1.9 	2.4 	3.4 	3.3 	4.5 	4.1 	4.2 	5.3 
RET,LI_R_MD60,Y_GE18,M,DE	11.1 	15.0 	14.0 	13.9 	12.3 	13.0 	14.5 	13.2 	14.6 	15.0 	15.9 	15.3 
RET,LI_R_MD60,Y_GE18,M,DK	14.2 	14.9 	15.3 	16.9 	15.0 	11.4 b	11.7 	8.9 	9.5 	7.6 	7.3 	9.2 
RET,LI_R_MD60,Y_GE18,M,EA18	14.7 	15.2 	13.9 	13.6 	11.8 	12.3 	12.1 	10.9 	10.7 	11.0 	11.8 	: 
RET,LI_R_MD60,Y_GE18,M,EA19	14.6 	15.2 	14.0 	13.6 	11.8 	12.3 	12.1 	10.9 	10.7 	11.1 	11.8 	: 
RET,LI_R_MD60,Y_GE18,M,EE	17.4 	25.2 	30.6 	24.6 	10.8 	9.5 	14.1 	16.8 	23.8 b	27.5 	31.2 	33.6 
RET,LI_R_MD60,Y_GE18,M,EL	22.0 	18.8 	17.9 	17.8 	17.0 	20.2 	14.4 	11.9 	10.9 	10.0 	9.0 	9.0 
RET,LI_R_MD60,Y_GE18,M,ES	24.4 	22.6 	20.2 b	19.7 	17.4 	16.8 	14.2 	11.7 	9.7 	11.1 	12.6 	13.3 
RET,LI_R_MD60,Y_GE18,M,EU27	14.9 e	15.3 	14.7 	13.9 	12.1 	12.4 	11.9 	10.9 	11.0 	11.5 	11.9 	: 
RET,LI_R_MD60,Y_GE18,M,EU28	: 	: 	: 	: 	12.3 	12.5 	12.0 	11.0 	11.1 	11.6 	12.0 	: 
RET,LI_R_MD60,Y_GE18,M,FI	16.7 	17.5 	17.0 	15.8 	11.3 	11.2 	11.7 	11.6 	10.4 	9.0 	8.2 	7.7 
RET,LI_R_MD60,Y_GE18,M,FR	11.9 	10.1 	7.8 b	8.5 	6.7 	6.8 	7.3 	6.7 	6.6 	6.1 	5.5 	6.0 
RET,LI_R_MD60,Y_GE18,M,HR	: 	: 	: 	: 	22.8 b	20.3 	19.2 	16.5 	17.6 	20.3 	19.2 	: 
RET,LI_R_MD60,Y_GE18,M,HU	11.8 	7.8 	7.1 	2.9 	3.2 	4.0 	4.8 	4.6 	4.7 	4.8 	5.8 	7.9 
RET,LI_R_MD60,Y_GE18,M,IE	23.5 	27.1 	18.2 	15.6 	11.0 	10.6 	12.3 	12.0 	11.2 	15.5 	16.4 	: 
RET,LI_R_MD60,Y_GE18,M,IS	11.2 	13.3 	11.5 	6.7 	1.9 	1.4 	2.8 	3.3 	6.3 	5.5 	5.3 p	: 
RET,LI_R_MD60,Y_GE18,M,IT	15.2 	15.7 	14.8 	13.8 	12.2 	13.3 	12.6 	11.5 	10.4 	11.1 	12.6 	13.3 
RET,LI_R_MD60,Y_GE18,M,LT	11.3 	16.2 	20.7 	15.3 	11.3 	10.6 	15.4 	14.9 	15.6 	19.7 	20.8 	25.8 
RET,LI_R_MD60,Y_GE18,M,LU	6.5 	7.1 	5.3 	4.0 	5.8 	4.3 	4.5 	4.5 	4.4 	5.4 	6.7 b	: 
RET,LI_R_MD60,Y_GE18,M,LV	26.2 	32.1 	53.8 	46.4 	16.0 	9.5 	11.9 	13.4 	19.2 	26.4 	32.9 	33.8 
RET,LI_R_MD60,Y_GE18,M,MK	: 	: 	: 	: 	: 	: 	19.4 	15.1 	11.9 	9.9 	9.9 	: 
RET,LI_R_MD60,Y_GE18,M,MT	24.9 	25.6 	26.1 	21.8 	20.3 	19.2 	18.0 	16.0 	17.5 	20.5 	23.0 	23.8 
RET,LI_R_MD60,Y_GE18,M,NL	5.5 	6.4 	7.4 	6.4 	5.0 	6.5 	5.4 	5.0 	6.1 	6.0 	9.4 b	10.3 
RET,LI_R_MD60,Y_GE18,M,NO	10.4 	6.2 	6.9 	4.5 	3.5 	3.5 	3.9 	3.6 	4.4 	4.1 	4.1 	5.0 
RET,LI_R_MD60,Y_GE18,M,PL	5.4 	4.5 	7.0 	8.5 	8.3 	8.6 	8.2 	7.4 	7.4 	8.2 	8.7 	10.3 
RET,LI_R_MD60,Y_GE18,M,PT	23.2 	22.9 	17.9 	16.1 	16.5 	16.5 	15.4 	12.2 	12.4 	13.5 	15.6 	14.5 
RET,LI_R_MD60,Y_GE18,M,RO	: 	19.7 	16.7 	12.5 	9.7 	8.1 	7.9 	8.3 	9.7 	12.8 	11.6 	12.4 
RET,LI_R_MD60,Y_GE18,M,RS	: 	: 	: 	: 	: 	: 	: 	13.5 	15.5 	14.5 	13.3 	: 
RET,LI_R_MD60,Y_GE18,M,SE	8.1 	6.9 	10.9 b	9.6 	8.8 	10.3 	10.9 	10.0 	9.6 	12.7 	12.8 	11.7 
RET,LI_R_MD60,Y_GE18,M,SI	11.5 	11.1 	12.9 	12.2 	12.1 	12.6 	12.0 	12.8 	11.0 	11.4 	12.6 	11.1 
RET,LI_R_MD60,Y_GE18,M,SK	5.8 	5.2 	6.3 	4.3 	3.9 	3.6 	5.8 	4.4 	5.3 	4.4 	4.9 	: 
RET,LI_R_MD60,Y_GE18,M,TR	4.8 	4.3 	3.9 	4.7 	3.8 	5.4 	4.7 	3.7 	4.5 	5.7 	: 	: 
RET,LI_R_MD60,Y_GE18,M,UK	23.4 	25.1 	26.5 	22.0 	19.6 	19.9 	16.6 b	16.0 	16.9 	16.9 	16.4 	: 
RET,LI_R_MD60,Y_GE18,T,AT	13.3 	11.9 	16.7 b	16.4 	15.5 	15.5 	14.4 	14.6 	14.2 	12.9 	12.2 	12.1 
RET,LI_R_MD60,Y_GE18,T,BE	20.2 	19.6 	18.3 	17.8 	16.1 	17.3 	16.7 	15.1 b	12.9 	12.4 	13.3 	13.7 
RET,LI_R_MD60,Y_GE18,T,BG	18.3 	23.6 	31.7 	36.5 	30.0 	28.6 	26.2 	25.9 	21.1 	30.0 	24.7 b	32.4 
RET,LI_R_MD60,Y_GE18,T,CH	: 	24.7 	26.5 	30.2 	26.9 	27.8 	29.6 	29.3 	25.7 b	27.6 	26.0 	: 
RET,LI_R_MD60,Y_GE18,T,CY	50.1 	49.5 	46.2 b	45.8 	39.1 	34.9 	29.0 	19.7 	21.3 	16.5 	19.8 	21.6 
RET,LI_R_MD60,Y_GE18,T,CZ	6.8 	6.3 	8.0 	7.1 	6.6 	6.7 	6.4 	6.1 	6.9 	7.4 	8.1 	10.8 
