unit,age,icd10,sex,geo\time	2011 	2012 	2013 	2014 	2015 
RT,TOTAL,X60-X84_Y870,M,RS	28.99 	28.6 	28.22 	26.43 	24.76 
RT,TOTAL,X60-X84_Y870,M,SE	17.3 	18.07 	18.64 	17.02 	18.15 
RT,TOTAL,X60-X84_Y870,M,SI	39.25 	39.57 	37.14 	33.44 	36.15 
RT,TOTAL,X60-X84_Y870,M,SK	20.48 	21.08 	22.94 	20.34 	16.66 
RT,TOTAL,X60-X84_Y870,M,TR	2.87 d	3.27 d	4.25 d	3.77 d	3.48 d
RT,TOTAL,X60-X84_Y870,M,UK	10.83 d	11.78 d	11.95 	11.24 	11.52 
RT,TOTAL,X60-X84_Y870,T,AT	15.54 	15.2 	15.35 	15.26 	14.48 
RT,TOTAL,X60-X84_Y870,T,BE	19.25 	18.76 	17.27 	17.28 	16.85 
RT,TOTAL,X60-X84_Y870,T,BG	10.4 	12.11 	9.78 	9.91 	9.33 
RT,TOTAL,X60-X84_Y870,T,CH	13.23 	13.2 	13.34 	12.77 	12.96 
RT,TOTAL,X60-X84_Y870,T,CY	3.97 	3.82 	5.19 	4.5 	4.45 
RT,TOTAL,X60-X84_Y870,T,CZ	15.2 	15.97 	15.18 	14.36 	13.24 
RT,TOTAL,X60-X84_Y870,T,DE	11.9 d	11.52 d	11.79 	11.94 	11.67 
RT,TOTAL,X60-X84_Y870,T,DK	11.11 	12.22 	11.28 	11.91 	10.21 
RT,TOTAL,X60-X84_Y870,T,EE	16.31 	18.4 	16.96 	18.31 	15.89 
RT,TOTAL,X60-X84_Y870,T,EL	4.2 	4.41 	4.76 	4.99 	4.69 
RT,TOTAL,X60-X84_Y870,T,ES	6.74 	7.43 	8.14 	8.17 	7.51 
RT,TOTAL,X60-X84_Y870,T,EU28	11.68 d	11.73 d	11.67 d	11.25 	10.91 
RT,TOTAL,X60-X84_Y870,T,FI	16.91 	16.14 	16.36 	14.55 	13.46 
RT,TOTAL,X60-X84_Y870,T,FR	16.86 	15.75 	15.47 	14.13 	14.14 
RT,TOTAL,X60-X84_Y870,T,HR	16.57 	18.23 d	16.18 	16.84 	17.32 
RT,TOTAL,X60-X84_Y870,T,HU	24.64 d	24.11 d	21.22 	19.42 	19.03 
RT,TOTAL,X60-X84_Y870,T,IE	12.11 	12.18 	11.14 	11.03 	9.59 
